FieldsheetNo,Context,Mesosquare,Date,Time,Compiled by,TotalTime,Visibility,SlopeGradient,Aspect,Vegetation,LandUse,Topography,SoilTypes,SurfaceCondition,Member1,Member2,Member3,Member4,Member1count,Member2count,Member3count,Member4count,TotalCount,FieldPhoto,FieldPhotoDate,FieldPhotoTakenBy,FieldPhotoTakenFrom,FieldPhotoComments,AdditionalPhoto1,AdditionalPhoto1Date,AdditionalPhoto1TakenBy,AdditionalPhoto1TakenFrom,AdditionalPhoto1Comments,AdditionalPhoto2,AdditionalPhoto2Date,AdditionalPhoto2TakenBy,AdditionalPhoto2TakenFrom,AdditionalPhoto2Comments,Feature1photo,Feature1Type,Feature1GPS,Feature1Notes,Feature1Finds,Feature1Previouslyexcavated,Feature2Photo,Feature2Type,Feature2GPS,Feature2Notes,Feature2Finds,Feature2PreviouslyExcavated,Feature3Photo,Feature3Type,Feature3GPS,Feature3Finds,Feature3Notes,Feature3PreviouslyExcavated,Feature4Photo,Feature4Type,Feature4GPS,Feature4Notes,Feature4Finds,Feature4PreviouslyExcavated,Notes,Feature5Photo,Feature5Type,Feature5GPS,Feature5Notes,Feature5Finds,Feature5PreviouslyExcavated,Feuture6Photo,Feuture6Type,Feature6GPS,Feature6Notes,Feature6Finds,Feature6PreviouslyExcavated,Feature7Photo,Feature7Type,Feature7GPS,Feature7Notes,Feature7Finds#,Feature7PreviouslyExcavated,Feature8Photo,Feature8Type,Feature8GPS,Feature8Notes,Feature8Finds,Feature8PreviouslyExcavated,AdditionalPhoto3,AdditionalPhoto3Date,AdditionalPhoto3TakenBy,AdditionalPhoto3TakenFrom,AdditionalPhoto3Comments,AdditionalPhoto4,AdditionalPhoto4Date,AdditionalPhoto4TakenBy,AdditionalPhoto4TakenFrom,AdditionalPhoto4Comments,Additionalphotograph1comment,Additionalphotograph2comment,Additionalphotograph3comment,Additionalphotograph4comment,Additionalphotograph5comment,Additionalphotograph6comment,Additionalphotograph7comment,Additionalphotograph8comment,Additionalphotograph9comment,Additionalphotograph10comment
,152,I53.4,18-07-2013,07:25:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ID,,,,,,,,196,T13.152.4,18-07-2013,AB,NW,,,,,,,,,,,,T13.152.4 Excavation 1 - 4,Previous excavation,,,,Yes,,,,,,,,,,,,,,,,,,,Previous excavations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,I52.1,18-07-2013,08:05:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Gravel
Sand
Bedrock",Dry,LM,,,,,,,,289,T13.153.1,18-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,I52.2,18-07-2013,08:05:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SC,,,,,,,,566,T13.153.2,18-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,I52.3,18-07-2013,08:45:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,BM,,,,,,,,168,T13.153.3,18-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,A lot of debris. Possible terrace wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,I52.4,18-07-2013,08:45:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,ID,,,,,,,,755,T13.153.4,18-07-2013,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,J52.1,18-07-2013,09:30:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,DVA,,,,,,,,321,T13.154.1,18-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible terrace wall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,J52.3,18-07-2013,09:30:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,SDS,,,,,,,,466,T13.154.3,18-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,J52.2,18-07-2013,10:50:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SC,,,,,,,,201,T13.154.2,18-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,J52.4,18-07-2013,11:20:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Bedrock
Gravel
Sand",Dry,BM,,,,,,,,382,T13.154.4,18-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,K52.3,18-07-2013,11:55:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ID,,,,,,,,187,T13.155.3,18-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,K52.4,18-07-2013,12:30:00,SVW,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,BM,,,,,,,,71,T13.155.4,18-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,J3.4,18-07-2013,06:20:00,ML,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,MH,,,,,,,,416,T13.143.4,18-07-2013,WVA,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,I3.2,18-07-2013,07:20:00,EM,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,ML,,,,,,,,46,T13.146.2,18-07-2013,WVA,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,I3.4,18-07-2013,07:45:00,EM,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,WVA,,,,,,,,88,T13.146.4,18-07-2013,WVA,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,K52.2,19-07-2013,06:40:00,ML,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,CL,,,,,,,,121,T13.155.2,19-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock concentration in NW corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,K53.4,19-07-2013,06:40:00,ML,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,ID,,,,,,,,189,T13.156.4,19-07-2013,AB,SE,,,,,,,,,,,,T13.156.4 Grave,Grave,N37�44.422' E024�03.468' 80m alt,,,,,,,,,,,,,,,,,,,,,,Possible grave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,K53.1,19-07-2013,07:45:00,ML,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,See notes,,,,,,,,0,T13.156.1,19-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impossible to survey due to rocky outcropping and extreme overgrowth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,K53.2,19-07-2013,07:45:00,ML,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,MK,,,,,,,,187,T13.156.2,19-07-2013,AB,NE,,,,,,,,,,,,T13.156.2 Tholos Grave 1 - 3,Tholos grave,,,,Yes,,,,,,,,,,,,,,,,,,,Tholos grave surveyed by CL as 156.2B (not inside, only the excavated rim).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,K53.3,19-07-2013,07:45:00,ML,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,BM,,,,,,,,295,T13.156.3,19-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visibility extremely low due to rocky outcropping and extreme overgrowth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,J53.3,19-07-2013,08:30:00,ML,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,ABO,,,,,,,,215,T13.157.3,19-07-2013,AB,SE,,,,,,,,,,,,T13.157.3 Excavation 1 - 2,Previous excavation?,N37�44.431' E024�03.413' 118m alt,,,,,,,,,,,,,,,,,,,,,,Inscription, modern but with faint lettering ___, which recurs once and may be ancient. Also faint traces of unidentifiable letters, which also may be ancient. An area of 1x2 m2 seems to have been excavated outside the 3 known trenches.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,J53.1,19-07-2013,08:30:00,ML,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,BM,,,,,,,,99,T13.157.1,19-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stone heap, perhaps dump from previous excavations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,J53.2,19-07-2013,09:05:00,ML,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,LB,,,,,,,,139,T13.157.2,19-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very low visibility due to bushes, olives, cereal and maquis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,J53.4,19-07-2013,09:05:00,ML,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,CL,,,,,,,,140,T13.157.4,19-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low visibility because of large boulders, cereals, some bushes and olives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,L52.3,19-07-2013,10:05:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,MH,,,,,,,,45,T13.158.3,19-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,L52.4,19-07-2013,11:00:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,ID,,,,,,,,56,T13.158.4,19-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,L52.1,19-07-2013,11:40:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,ABO,,,,,,,,57,T13.158.1,19-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,158,L52.2,19-07-2013,12:10:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,CL,,,,,,,,59,T13.158.2,19-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,I3.1,19-07-2013,06:30:00,EM,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,EM,,,,,,,,108,T13.146.1,19-07-2013,EM,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,I3.3,19-07-2013,07:02:00,EM,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,,,,,,,,77,T13.146.3,19-07-2013,EM,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,H3.2,19-07-2013,07:35:00,EM,20,,,,Cereals,Wasteland,Hill slope,Sand,Dry,EM,,,,,,,,139,T13.147.2,19-07-2013,EM,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,159,L53.3,20-07-2013,06:35:00,EM,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,,,,,,,,24,T13.159.3,20-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,159,L53.4,20-07-2013,06:35:00,EM,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ABO,,,,,,,,46,T13.159.4,20-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,159,L53.1,20-07-2013,07:15:00,WVA,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,DVA,,,,,,,,59,T13.159.1,20-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tholos grave in NW corner. Terrace wall near tholos grave in T13.159.1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,159,L53.2,20-07-2013,07:15:00,WVA,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,LM,,,,,,,,65,T13.159.2,20-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,M52.1,20-07-2013,08:40:00,EM,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MH,,,,,,,,67,T13.160.1,20-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,M52.3,20-07-2013,08:40:00,EM,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ABO,,,,,,,,42,T13.160.3,20-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,M52.2,20-07-2013,09:28:00,WVA,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,DVA,,,,,,,,49,T13.160.2,20-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,M52.4,20-07-2013,09:28:00,WVA,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,LM,,,,,,,,18,T13.160.4,20-07-2013,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,N52.1,20-07-2013,11:25:00,EM,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,,,,,,,,26,T13.161.1,20-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strong winds and low visibility due to rocks and thorny bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,N52.3,20-07-2013,12:00:00,EM,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,ABO,,,,,,,,33,T13.161.3,20-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strong winds and low visibility due to rocks and thorny bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,N52.2,20-07-2013,12:30:00,EM,20,,,,Cereals,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MH,,,,,,,,43,T13.161.2,20-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strong winds and low visibility due to rocks and thorny bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,H3.4,20-07-2013,06:20:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,CL,,,,,,,,131,T13.147.4,20-07-2013,SVW,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,H3.3,20-07-2013,06:50:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MK,,,,,,,,105,T13.147.3,20-07-2013,SVW,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 terrace walls, 1 structure, big mine shaft in T13.147.3A+B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,H3.1,20-07-2013,07:20:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,SVW,,,,,,,,129,T13.147.1,20-07-2013,SVW,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubble heap in T13.147.1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,N52.4,22-07-2013,06:40:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,LBO,,,,,,,,46,T13.161.4,22-07-2013,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,O52.1,22-07-2013,06:40:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Sand
Gravel
Bedrock",Dry,MP,,,,,,,,46,T13.162.1,22-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,O52.2,22-07-2013,07:20:00,ML,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,LB,,,,,,,,48,T13.162.2,22-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visibility extremely low in the entire macrosquare due to thorny bushes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,O52.3,22-07-2013,07:20:00,ML,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,SC,,,,,,,,30,T13.162.3,22-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,O52.4,22-07-2013,08:05:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,EM,,,,,,,,11,T13.162.4,22-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,163,P52.3,22-07-2013,08:50:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,LB,,,,,,,,35,T13.163.3,22-07-2013,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,163,P52.1,22-07-2013,09:20:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,LB,,,,,,,,40,T13.163.1,22-07-2013,AB,NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,163,P52.2,23-07-2013,06:30:00,SVW,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,CL,,,,,,,,50,T13.163.2,23-07-2013,AB,SE,,,,,,,,,,,,,Lekythos,N37�44.439' E024�03.639' 31m alt,,,,,,,,,,,,,,,,,,,,,,In T13.163.2B, a lekythos was found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,163,P52.4,23-07-2013,06:30:00,SVW,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,LM,,,,,,,,26,T13.163.4,23-07-2013,AB,NE,,,,,,,,,,,,T13.163.4 Wall,Terrace Wall,N37�44.415' E024�03.637' 23m alt,,,,,,,,,,,,,,,,,,,,,,Terrace wall found (possibly modern),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,Q52.1,23-07-2013,07:05:00,SVW,20,,,,Vine,Wasteland,Hill slope,"Gravel
Bedrock
Clay",Dry,LB,,,,,,,,10,T13.164.1,23-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,Q52.3,23-07-2013,07:05:00,SVW,20,,,,Vine,Wasteland,Hill slope,"Clay
Bedrock
Gravel",Dry,DVA,,,,,,,,6,T13.164.3,23-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Because of high vegetation, T13.164.3D was not surveyed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,Q52.2,23-07-2013,07:40:00,SVW,20,,,,Vine,Wasteland,Hill slope,"Gravel
Bedrock
Clay",Dry,DVA,,,,,,,,58,T13.164.2,23-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,Q53.4,23-07-2013,08:00:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,MK,,,,,,,,58,T13.165.4,23-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ploughed land. Many flat stones were observed in T13.165.4D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,Q53.3,23-07-2013,08:40:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,MP,,,,,,,,18,T13.165.3,23-07-2013,AB,SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,Q53.2,23-07-2013,09:20:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,LM,,,,,,,,38,T13.165.2,23-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A very large, impenetrable bush overlapped almost all of T13.164.2B, making survey very minimal in this area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,165,Q53.1,23-07-2013,11:20:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,CL,,,,,,,,15,T13.165.1,23-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,P53.2,23-07-2013,11:50:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,LM,,,,,,,,13,T13.166.2,23-07-2013,AB,NE,,,,,,,,,,,,T13.166.2 Stones,Stone concentration,,,,,,,,,,,,,,,,,,,,,,,A concentration of stones was observed in T13.166.2B, probably caused by agricultural activity in this area. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,P53.4,23-07-2013,12:30:00,AB,20,,,,Olive,Wasteland,Hill slope,Sand,Dry,MK,,,,,,,,22,T13.166.4,23-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,P53.1,24-07-2013,06:15:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Clay
Bedrock
Gravel",Dry,LM,,,,,,,,57,T13.166.1,24-07-2013,AB,NW,,,,,,,,,,,,T13.166.1 Wall,Terrace Wall,N37�44.454' E024�03.602' 38m alt,,,,,,,,,,,,,,,,,,,,,,Terrace wall through A+C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,P53.3,24-07-2013,06:15:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Gravel
Bedrock
Clay",Dry,CL,,,,,,,,58,T13.166.3,24-07-2013,AB,SW,,,,,,,,,,,,T13.166.3 Wall,Terrace Wall,N37�44.434' E024�03.620' 32m alt,,,,,,,,,,,,,,,,,,,,,,Terrace wall in D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,167,O53.2,24-07-2013,07:15:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Clay
Bedrock
Gravel",Dry,DVA,,,,,,,,51,T13.167.2,24-07-2013,AB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plateau. Terrace wall in A+B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,167,O53.4,24-07-2013,07:15:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Gravel
Bedrock
Clay",Dry,BM,,,,,,,,90,T13.167.4,24-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plateau.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,167,O53.1,24-07-2013,07:35:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Clay
Bedrock
Gravel",Dry,LM,,,,,,,,46,T13.167.1,24-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A concentration of bushes in D made it difficult to survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,167,O53.3,24-07-2013,07:35:00,SVW,20,,,,Olive,Wasteland,Hill slope,"Gravel
Bedrock
Clay",Dry,LBO,,,,,,,,81,T13.167.3,24-07-2013,AB,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A concentration of bushes in B made it difficult to survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
